CNPq_ID,Name,Institution,Area,City,State,Country,Lattes_URL,Search_Term,Created_At
K8709106Z6,Adelson Dias de Araújo Júnior,University of Twente,,,,,http://lattes.cnpq.br/K8709106Z6,automated reasoning,2025-05-27 02:41:47
K4736428E9,Adilson Luiz Bonifácio,Universidade Estadual de Campinas,,,,,http://lattes.cnpq.br/K4736428E9,model checking,2025-05-27 02:41:30
K4761438J8,Adnan Sherif,Universidade Federal de Pernambuco,,,,,http://lattes.cnpq.br/K4761438J8,"formal verification, formal semantics",2025-05-27 02:41:26
K4231376H8,Airton Jacob Alvares,Pontifícia Universidade Católica de São Paulo,,,,,http://lattes.cnpq.br/K4231376H8,prova de teoremas,2025-05-27 02:41:33
K4422087H5,Alex Donizeti Betez Alberto,Universidade de São Paulo,,,,,http://lattes.cnpq.br/K4422087H5,formal semantics,2025-05-27 02:41:50
K4784948H6,Alex de Vasconcellos Garcia,Pontifícia Universidade Católica do Rio de Janeiro,,,,,http://lattes.cnpq.br/K4784948H6,linguagens de especificação,2025-05-27 02:41:44
K8205200Z6,Alexandra Lehmkuhl,,,,,,http://lattes.cnpq.br/K8205200Z6,prova de teoremas,2025-05-27 02:41:33
K4219769E2,Alexandre Filgueiras,,,,,,http://lattes.cnpq.br/K4219769E2,computacao,2025-05-27 02:24:54
K2581995D1,Alexandre Garcez Vieira,Universidade Federal da Bahia,,,,,http://lattes.cnpq.br/K2581995D1,computacao,2025-05-27 02:25:04
K4106321U5,Alvaro Heiji Miyazawa,University of York,,,,,http://lattes.cnpq.br/K4106321U5,formal verification,2025-05-27 02:41:25
K8976059Z1,Amanda da Silva Rodrigues Cunha,,,,,,http://lattes.cnpq.br/K8976059Z1,prova de teoremas,2025-05-27 02:41:32
K1168916J4,Amilene Bezerra do Nascimento,,,,,,http://lattes.cnpq.br/K1168916J4,linguagens de especificação,2025-05-27 02:41:44
K2072351Z2,Amir Molzam Sharifloo,,,,,,http://lattes.cnpq.br/K2072351Z2,"formal verification, model checking",2025-05-27 02:41:27
K4787816D2,Ana Cristina Vieira de Melo,The University Of Manchester,,,,,http://lattes.cnpq.br/K4787816D2,formal methods,2025-05-27 02:41:22
K4787817Z4,Anamaria Martins Moreira,,,,,,http://lattes.cnpq.br/K4787817Z4,formal methods,2025-05-27 02:41:25
K9820607P8,Anderson Alexandrino Campos,,,,,,http://lattes.cnpq.br/K9820607P8,prova de teoremas,2025-05-27 02:41:32
